event_id,date,days_to_show,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active,FV_delta,maxPrice_FV_delta,FV_delta_log
9426787,2016-03-26T19:30:00-0400,13,Joe Satriani,Orpheum Theatre - MA,87.44,500,18,68,Boston,MA,Ticketmaster,33.5,0,217121,13,2292,483,43,0.33065216,0.749976,0.61644,46,53.94,466.5,3.987872318
9426920,2016-06-14T19:00:00-0400,93,Twenty One Pilots,Agganis Arena,119.32,9999.99,111,342,Boston,MA,Ticketmaster,32.5,0,3123851,93,852,265,10,0.572563353,0.586834,0.78425,7,86.82,9967.49,4.46383701
9430936,2016-06-15T19:00:00-0400,94,Twenty One Pilots,Agganis Arena,119.32,1111,55,217,Boston,MA,Ticketmaster,32.5,0,3123851,94,852,265,10,0.572563353,0.586834,0.78425,7,86.82,1078.5,4.46383701
9431369,2016-04-01T20:00:00-0400,19,Savages,Paradise Rock Club,42.62,57,10,46,Boston,MA,Ticketmaster,22,0,242996,19,13,5,56,0.576637726,0.340308,0.602402,6,20.62,35,3.026261479
9432544,2016-06-15T19:30:00-0400,94,Ellie Goulding,TD Garden,64.45,336,209,854,Boston,MA,Ticketmaster,25,0,2332047,94,10070,2357,23,0.482699668,0.750632,0.901275,8,39.45,311,3.675034047
9434826,2016-03-29T19:30:00-0400,16,Bonnie Raitt,Orpheum Theatre - MA,217.78,900,20,44,Boston,MA,Ticketmaster,48,0,135398,16,2254,721,66,0.316062808,0.728868,0.562017,45,169.78,852,5.134503481
9445538,2016-05-10T19:30:00-0400,58,Justin Bieber,TD Garden,225.87,2054,231,652,Boston,MA,Ticketmaster,50.5,0,2596951,58,30698,11724,108,0.376889194,0.842991,0.91195,8,175.37,2003.5,5.166898028
9448443,2016-04-09T19:00:00-0400,27,Infamous Stringdusters,Paradise Rock Club,30.81,57,7,35,Boston,MA,Ticketmaster,16,0,541144,27,282,294,18,0.430255864,0.515952,0.528911,10,14.81,41,2.695302628
9452686,2016-05-11T19:30:00-0400,59,Justin Bieber,TD Garden,146.85,4000,258,888,Boston,MA,Ticketmaster,50.5,0,2596951,59,30698,11724,108,0.376889194,0.842991,0.91195,8,96.35,3949.5,4.567987395
9456683,2016-03-19T19:00:00-0400,6,Jukebox the Ghost,Paradise Rock Club,34.36,100,11,47,Boston,MA,Ticketmaster,22,0,578861,6,893,83,11,0.413727281,0.531711,0.520564,13,12.36,78,2.514465452
